stock_id,stock_name
2402,毅嘉
2404,漢唐
2404,漢唐
2405,輔信
2405,輔信
2406,國碩
2406,國碩
2408,南亞科
2408,南亞科
2409,友達
2409,友達
2412,中華電
2392,正崴
2392,正崴
2390,云辰
2390,云辰
2373,震旦行
2373,震旦行
2374,佳能
2374,佳能
2375,凱美
2375,凱美
2376,技嘉
2376,技嘉
2377,微星
2377,微星
2379,瑞昱
2412,中華電
2379,瑞昱
2380,虹光
2382,廣達
2382,廣達
2383,台光電
2383,台光電
2385,群光
2385,群光
2387,精元
2387,精元
2388,威盛
2388,威盛
2380,虹光
2371,大同
2413,環科
2414,精技
2431,聯昌
2432,倚天酷碁-創
2432,倚天酷碁-創
2432,倚天酷碁-創
2433,互盛電
2433,互盛電
2434,統懋
2434,統懋
2436,偉詮電
4746,台耀
2438,翔耀
2438,翔耀
2439,美律
2439,美律
2440,太空梭
2440,太空梭
2441,超豐
2441,超豐
2442,新美齊
2444,兆勁
2444,兆勁
2449,京元電子
2449,京元電子
2431,聯昌
2430,燦坤
2430,燦坤
2429,銘旺科
2414,精技
2415,錩新
2415,錩新
2417,圓剛
2417,圓剛
2419,仲琦
2419,仲琦
2420,新巨
2420,新巨
2421,建準
2421,建準
2413,環科
2423,固緯
2424,隴華
2424,隴華
2425,承啟
2425,承啟
2426,鼎元
2426,鼎元
2427,三商電
2427,三商電
2428,興勤
2428,興勤
2429,銘旺科
2423,固緯
2369,菱生
2369,菱生
2368,金像電
2305,全友
2305,全友
2308,台達電
2308,台達電
2312,金寶
2312,金寶
2313,華通
2313,華通
2314,台揚
2314,台揚
2316,楠梓電
2316,楠梓電
2317,鴻海
2317,鴻海
2321,東訊
2321,東訊
2323,中環
2323,中環
2324,仁寶
2324,仁寶
2327,國巨*
2327,國巨*
2328,廣宇
2303,聯電
2303,聯電
2302,麗正
2302,麗正
2228,劍麟
2231,為升
2233,宇隆
2236,百達-KY
2239,英利-KY
2241,艾姆勒
2243,宏旭-KY
2328,廣宇
2247,汎德永業
2250,IKKA-KY
2254,巨鎧精密-創
2254,巨鎧精密-創
2258,鴻華先進-創
2258,鴻華先進-創
2301,光寶科
2301,光寶科
2248,華勝-KY
2329,華泰
2329,華泰
2330,台積電
2353,宏碁
2354,鴻準
2354,鴻準
2355,敬鵬
2355,敬鵬
2356,英業達
2356,英業達
2357,華碩
2357,華碩
2359,所羅門
2359,所羅門
2353,宏碁
2360,致茂
2362,藍天
2362,藍天
2363,矽統
2363,矽統
2364,倫飛
2364,倫飛
2365,昆盈
2365,昆盈
2367,燿華
2367,燿華
2368,金像電
2360,致茂
1477,聚陽
2352,佳世達
2351,順德
2330,台積電
2331,精英
2331,精英
2332,友訊
2332,友訊
2337,旺宏
2337,旺宏
2338,光罩
2338,光罩
2340,台亞
2340,台亞
2352,佳世達
2342,茂矽
2344,華邦電
2344,華邦電
2345,智邦
2345,智邦
2347,聯強
2347,聯強
2348,海悅
2349,錸德
2349,錸德
2351,順德
2342,茂矽
1476,儒鴻
1475,業旺
1474,弘裕
00783,富邦中証500
00830,國泰費城半導體
00739,元大MSCI A股
00752,中信中國50
00762,元大全球AI
00770,國泰北美科技
00771,元大US高息特別股
00757,統一FANG+
00891,中信關鍵半導體
00892,富邦台灣半導體
00893,國泰智能電動車
00894,中信小資高價30
00895,富邦未來車
00896,中信綠能及電動車
00897,富邦基因免疫生技
00898,國泰基因免疫革命
00899,FT潔淨能源
00900,富邦特選高股息30
00901,永豐智能車供應鏈
00902,中信電池及儲能
00903,富邦元宇宙
00904,新光臺灣半導體30
00905,FT臺灣Smart
00907,永豐優息存股
00908,富邦入息REITs+
00909,國泰數位支付服務
00910,第一金太空衛星
00911,兆豐洲際半導體
00912,中信臺灣智慧50
00913,兆豐台灣晶圓製造
00885,富邦越南
00850,元大臺灣ESG永續
00851,台新全球AI
00861,元大全球未來通訊
00875,國泰網路資安
00876,元大全球5G
00878,國泰永續高股息
00881,國泰台灣科技龍頭
00882,中信中國高股息
00737,國泰AI機器人
00736,國泰新興市場
00735,國泰臺韓科技
00643,群益深証中小
00645,富邦日本
00646,元大S&P500
00652,富邦印度
00657,國泰日經225
00660,元大歐洲50
00661,元大日經225
00662,富邦NASDAQ
00668,國泰美國道瓊
00639,富邦深100
0051,元大中型100
0052,富邦科技
0053,元大電子
0055,元大MSCI金融
0056,元大高股息
0057,富邦摩台
0061,元大寶滬深
006203,元大MSCI台灣
006204,永豐臺灣加權
006205,富邦上証
006206,元大上證50
006208,富邦台50
00636,國泰中國A50
006207,復華滬深
00709,富邦歐洲
00712,復華富時不動產
00713,元大台灣高息低波
00714,群益道瓊美國地產
00717,富邦美國特別股
00703,台新MSCI中國
00728,第一金工業30
00730,富邦臺灣優質高息
00731,復華富時高息低波
00733,富邦臺灣中小
00915,凱基優選高股息30
00702,國泰標普低波高息
00700,富邦恒生國企
00678,群益那斯達克生技
00701,國泰股利精選30
00690,兆豐藍籌30
00692,富邦公司治理
2450,神腦
00916,國泰全球品牌50
00918,大華優利高填息30
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1307,三芳
1308,亞聚
1309,台達化
1310,台苯
1312,國喬
1313,聯成
1314,中石化
1315,達新
1316,上曜
1319,東陽
1321,大洋
1323,永裕
1324,地球
1325,恆大
1109,信大
1110,東泥
1201,味全
1203,味王
1210,大成
1213,大飲
1215,卜蜂
1216,統一
1217,愛之味
1218,泰山
1219,福壽
1326,台化
1220,台榮
1227,佳格
1229,聯華
1231,聯華食
1232,大統益
1233,天仁
1234,黑松
1235,興泰
1236,宏亞
1256,鮮活果汁-KY
1225,福懋油
1108,幸福
1338,廣華-KY
1446,宏和
1447,力鵬
1449,佳和
1451,年興
1452,宏益
1453,大將
1454,台富
1455,集盛
1456,怡華
1457,宜進
1459,聯發
1460,宏遠
1463,強盛新
1464,得力
1465,偉全
1466,聚隆
1467,南緯
1468,昶和
1470,大統新創
1471,首利
1471,首利
1472,三洋實業
1473,台南
1445,大宇
1444,力麗
1443,立益物流
1442,名軒
1339,昭輝
1340,勝悅-KY
1341,富林-KY
1342,八貫
1402,遠東新
1409,新纖
1410,南染
1413,宏洲
1414,東和
1416,廣豐
1337,再生-KY
1417,嘉裕
1419,新紡
1423,利華
1432,大魯閣
1434,福懋
1435,中福
1436,華友聯
1437,勤益控
1438,三地開發
1439,雋揚
1440,南紡
1441,大東
1418,東華
1104,環泥
1103,嘉泥
1102,亞泥
00949,復華日本龍頭
00951,台新日本半導體
00952,凱基台灣AI50
00954,中信日本半導體
00956,中信日經高股息
00960,野村全球航運龍頭
00961,FT臺灣永續高息
00962,台新AI優息動能
00963,中信全球高股息
00964,中信亞太高股息
00965,元大航太防衛科技
00947,台新臺灣IC設計
00946,群益科技高息成長
00944,野村趨勢動能高息
00919,群益台灣精選高息
00920,富邦ESG綠色電力
00921,兆豐龍頭等權重
00922,國泰台灣領袖50
00923,群益台ESG低碳50
00924,復華S&P500成長
00926,凱基全球菁英55
00927,群益半導體收益
00929,復華台灣科技優息
00930,永豐ESG低碳高息
00971,野村美國研發龍頭
00934,中信成長高股息
00935,野村臺灣新科技50
00936,台新永續高息中小
00938,凱基優選30
00939,統一台灣高息動能
00940,元大台灣價值高息
